구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9999999999999998,1.0,1.0,1.0,1.0,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,570500.0,2780,1.0,85.46306611114227
강동구,0.1556195965417867,0.0625,0.18181818181818182,0.4675278076785073,0.4379692527708259,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,453233.0,773,0.26108696776186036,85.55022576390748
강북구,0.14697406340057634,0.5625,0.45454545454545453,0.1331180480803732,0.41544511977118337,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,330192.0,748,0.34251653715951746,94.07072761768072
강서구,0.46109510086455324,0.5,0.45454545454545453,0.37064944384642984,0.6149445834823024,72.90076335877863,100.0,100.0,60.1145038167939,84.75210477081384,603772.0,884,0.480246916547748,96.5728087490353
관악구,0.6282420749279538,0.4375,0.6363636363636365,0.5895227843559383,0.6474794422595638,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,525515.0,1496,0.5878215875814184,85.21222448195587
광진구,0.39769452449567716,0.5625,0.18181818181818182,0.7043415859346969,0.40686449767608146,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,372164.0,707,0.45064375798492745,96.37581975731734
구로구,0.515850144092219,0.625,0.5454545454545454,0.4564047362755651,0.5434393993564532,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,447874.0,1561,0.5372297650357565,75.27790635466599
금천구,0.14121037463976943,0.0625,0.09090909090909088,0.18083961248654468,0.20271719699678226,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,255082.0,1015,0.13563525500643744,97.9971394327299
노원구,0.2737752161383285,0.125,0.7272727272727273,0.405453893074991,0.4419020378977475,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,569384.0,1265,0.3946807748767588,88.64617415331136
도봉구,0.0,0.25,0.09090909090909088,0.0,0.0,100.0,100.0,100.0,44.96707431796801,87.62609280430397,348646.0,485,0.06818181818181818,100.0
동대문구,0.20461095100864551,0.5,0.27272727272727276,0.32938643702906356,0.3793350017876296,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,369496.0,1294,0.3372119325105223,95.44425044106504
동작구,0.5273775216138328,0.25,0.27272727272727276,0.2877646214567635,0.15123346442617092,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,412520.0,1091,0.29782057604480794,74.63336788530299
마포구,0.5533141210374639,0.5625,0.5454545454545454,0.5353426623609616,0.5348587772613513,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,389649.0,574,0.5462940212228645,85.92538102511915
서대문구,0.1498559077809798,0.0,0.0,0.2687477574452817,0.20343224883804079,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,327163.0,962,0.12440718281286045,88.87514434317907
서초구,0.8386167146974062,0.25,0.5454545454545454,0.5640473627556513,0.32606363961387197,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,450310.0,1930,0.504836452504295,77.1816918763104
성동구,0.06916426512968299,0.25,0.18181818181818182,0.1951919626838895,0.0446907400786557,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,311244.0,1062,0.14817302994208198,94.08881015517144
성북구,0.13832853025936598,0.0,0.27272727272727276,0.2590599210620739,0.25813371469431534,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,461260.0,1464,0.18564988774860558,89.72724267775804
송파구,0.340057636887608,0.5,0.8181818181818181,0.780767850735558,0.6464068644976761,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,667483.0,618,0.617082834060532,85.10306586921345
양천구,0.051873198847262214,0.0625,0.09090909090909088,0.296734840330104,0.365391490883089,87.5,50.0,100.0,35.55555555555556,80.90872857712236,479978.0,2034,0.17348172419390923,81.82382687349065
용산구,0.2651296829971181,0.5625,0.27272727272727276,0.17725152493720842,0.2012870933142653,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,244203.0,1624,0.29577911479517294,94.77678951004307
은평구,0.18443804034582129,0.25,0.09090909090909088,0.30534625044851094,0.4168752234537004,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,494388.0,1873,0.24951372103142472,86.84238612008086
종로구,0.31412103746397696,0.375,0.3636363636363636,0.4022246142805884,0.2881658920271719,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,162820.0,1002,0.34862958148162015,84.14183528687248
중구,0.19596541786743515,0.25,0.09090909090909088,0.5328310010764262,0.26349660350375403,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,133240.0,671,0.26664042267134125,74.12265003790951
중랑구,0.24495677233429397,0.375,1.0,0.384642985288841,0.486235252055774,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,414503.0,660,0.4981670019357818,87.06666281875579
